book,item,issue,required_action,status
20,Entire catalog,Current endangered/rare suitability and taxonomy can change,Verify against current recognized conservation/taxonomy sources before final upload,Open
24,North American River Otter,Former broad River Otter label normalized,No further naming action; verify artwork matches North American river otter,Resolved
24,Spiny Softshell Turtle,Former broad Softshell Turtle label normalized,No further naming action; verify artwork matches spiny softshell anatomy,Resolved
24,Northern Map Turtle,Former broad Map Turtle label normalized,No further naming action; verify artwork matches northern map turtle,Resolved
24,Northern Leopard Frog,Former broad Leopard Frog label normalized,No further naming action; verify artwork matches northern leopard frog,Resolved
24,Green Tree Frog,Former broad Tree Frog label normalized,No further naming action; verify artwork matches green tree frog,Resolved
24,Eastern Newt,Former broad Newt label normalized,No further naming action; verify artwork matches eastern newt,Resolved
24,Amazon Kingfisher,Former nonstandard River Kingfisher label normalized,No further naming action; verify artwork matches Amazon kingfisher,Resolved
24,Cottonmouth,Former Water Moccasin label normalized,No further naming action; verify artwork matches cottonmouth anatomy,Resolved
26,Giant Panda,Former Panda label normalized,No further naming action; verify artwork matches giant panda,Resolved
26,Beluga Whale,Former Beluga label normalized,No further naming action; verify artwork matches beluga whale,Resolved
26,American Pika,Former broad Pika label normalized,No further naming action; verify artwork matches American pika,Resolved
26,Eastern Cottontail,Former broad Rabbit label normalized,No further naming action; verify artwork matches eastern cottontail,Resolved
26,Netherland Dwarf Rabbit,Former broad Dwarf Rabbit label normalized,No further naming action; verify artwork matches Netherland Dwarf rabbit breed,Resolved
26,North American River Otter,Former broad River Otter label normalized,No further naming action; verify artwork matches North American river otter,Resolved
26,Brown-Throated Three-Toed Sloth,Former broad Sloth label normalized,No further naming action; verify artwork matches brown-throated three-toed sloth,Resolved
26,Ruby-Throated Hummingbird,Former broad Hummingbird label normalized,No further naming action; verify artwork matches ruby-throated hummingbird,Resolved
26,Eastern Bluebird,Former broad Bluebird label normalized,No further naming action; verify artwork matches eastern bluebird,Resolved
27,Vogelkop Bowerbird,Former broad Bowerbird label normalized,No further naming action; verify artwork matches Vogelkop bowerbird and bower design,Resolved
28,Shortfin Mako Shark,Former Mako Shark label normalized,No further naming action; verify artwork matches shortfin mako anatomy,Resolved
28,Great Hammerhead Shark,Former broad Hammerhead Shark label normalized,No further naming action; verify artwork matches great hammerhead anatomy,Resolved
28,Spiny Dogfish,Former broad Dogfish Shark label normalized,No further naming action; verify artwork matches spiny dogfish anatomy,Resolved
28,Pacific Electric Ray,Former broad Electric Ray label normalized,No further naming action; verify artwork matches Pacific electric ray,Resolved
28,Smooth Butterfly Ray,Former broad Butterfly Ray label normalized,No further naming action; verify artwork matches smooth butterfly ray,Resolved
28,Common Guitarfish,Former broad Guitarfish label normalized,No further naming action; verify artwork matches common guitarfish,Resolved
28,Shovelnose Guitarfish,Former broad Shovelnose Ray label normalized,No further naming action; verify artwork matches shovelnose guitarfish,Resolved
28,Smalltooth Sawfish,Former broad Sawfish label normalized,No further naming action; verify artwork matches smalltooth sawfish,Resolved
28,Clearnose Skate,Former broad Skate label normalized,No further naming action; verify artwork matches clearnose skate,Resolved
28,Ocellate River Stingray,Former broad Freshwater Stingray label normalized,No further naming action; verify artwork matches ocellate river stingray,Resolved
28,Devil Ray,Broad common label,Choose a deliberate species or explicitly approve generic representative,Open
28,Mobula Ray,Broad/overlapping common label,Choose a deliberate Mobula species and keep distinct from Devil Ray entry,Open
28,Baby Shark,Generic juvenile label,Define a parent species or explicitly approve generic shark-pup educational page,Open
28,Ray Pup,Generic juvenile label,Define a parent species or explicitly approve generic ray-pup educational page,Open
